layer,M,N,K,AI_FLOP_per_B,TC_roof_TFLOPS,BW_roof_TFLOPS,roof_TFLOPS,predicted_bound
fused_qkv_a_proj,256,2112,7168,221.27595884003742,2250,1770.2076707202993,1770.2076707202993,memory
fused_qkv_a_proj,1024,2112,7168,629.1063829787234,2250,5032.851063829788,2250,compute
fused_qkv_a_proj,4096,2112,7168,1166.6781750924783,2250,9333.425400739827,2250,compute
fused_qkv_a_proj,16384,2112,7168,1483.6158369266955,2250,11868.926695413564,2250,compute
fused_qkv_a_proj,65536,2112,7168,1591.7165387446114,2250,12733.732309956891,2250,compute
in_proj_qkvgfab,1,6288,7168,0.9997015470932781,2250,7.997612376746225,7.997612376746225,memory
in_proj_qkvgfab,8,6288,7168,7.98093883598843,2250,63.84751068790744,63.84751068790744,memory
in_proj_qkvgfab,16,6288,7168,15.92393657612843,2250,127.39149260902744,127.39149260902744,memory
in_proj_qkvgfab,64,6288,7168,62.80009808948436,2250,502.40078471587486,502.40078471587486,memory
in_proj_qkvgfab,256,6288,7168,237.82389193752638,2250,1902.591135500211,1902.591135500211,memory
in_proj_qkvgfab,1024,6288,7168,784.249443207127,2250,6273.995545657016,2250,compute
in_proj_qkvgfab,4096,6288,7168,1842.6976287816844,2250,14741.581030253476,2250,compute
in_proj_qkvgfab,16384,6288,7168,2781.044240143148,2250,22248.353921145183,2250,compute
in_proj_qkvgfab,65536,6288,7168,3186.7350596553247,2250,25493.880477242597,2250,compute
dense_down_proj,1,7168,8448,0.9997421863443292,2250,7.997937490754634,7.997937490754634,memory
dense_down_proj,8,7168,8448,7.983529650005063,2250,63.868237200040504,63.868237200040504,memory
dense_down_proj,16,7168,8448,15.934253957561468,2250,127.47403166049175,127.47403166049175,memory
dense_down_proj,64,7168,8448,62.960873036997604,2250,503.68698429598084,503.68698429598084,memory
dense_down_proj,256,7168,8448,240.146192893401,2250,1921.169543147208,1921.169543147208,memory
dense_down_proj,1024,7168,8448,810.082191780822,2250,6480.657534246576,2250,compute
dense_down_proj,4096,7168,8448,1991.9494736842105,2250,15935.595789473684,2250,compute
dense_down_proj,16384,7168,8448,3135.628831814416,2250,25085.03065451533,2250,compute
dense_down_proj,65536,7168,8448,3661.140507859734,2250,29289.124062877872,2250,compute
dense_gate_up_proj,1,16896,7168,0.9998013449370432,2250,7.998410759496346,7.998410759496346,memory
dense_gate_up_proj,8,16896,7168,7.987303731217288,2250,63.89842984973831,63.89842984973831,memory
dense_gate_up_proj,16,16896,7168,15.9492953947812,2250,127.5943631582496,127.5943631582496,memory
dense_gate_up_proj,64,16896,7168,63.19636655089501,2250,505.57093240716006,505.57093240716006,memory
dense_gate_up_proj,256,16896,7168,243.6086508753862,2250,1948.8692070030895,1948.8692070030895,memory
dense_gate_up_proj,1024,16896,7168,850.8776978417267,2250,6807.021582733813,2250,compute
dense_gate_up_proj,4096,16896,7168,2258.1766109785203,2250,18065.412887828163,2250,compute
dense_gate_up_proj,16384,16896,7168,3850.1566632756867,2250,30801.253306205494,2250,compute
dense_gate_up_proj,65536,16896,7168,4673.916640938562,2250,37391.33312750849,2250,compute
